keywords,answer,,
course;courses;programme;program,We offer courses in Computer Science, Data Science, and Artificial Intelligence. Visit the admissions page for the full list.
timing;timings;time;schedule;hours,Classes run Monday to Friday, 9:00 AM to 4:00 PM.,
fee;fees;cost;payment;price,The course fee is Rs. 50,000 per semester, payable in two installments.
contact;phone;email;number;reach,You can reach us at contact@college.edu or call +91-9876543210.,,
admission;admissions;apply;enroll;enrolment,Admissions are open from June to August. Apply through the college website.,,
hostel;hostels;accommodation;stay,Hostel facilities are available for both boys and girls, with mess included.,
library;books;study material,The library is open from 8 AM to 8 PM and has both physical and digital resources.,,
placement;placements;job;jobs;career,Our placement cell arranges campus drives every semester with 80+ recruiting companies.,,
exam;exams;examination;test,Semester exams are usually held in December and May. Check the notice board for exact dates.,,
scholarship;scholarships;financial aid,Merit and need-based scholarships are available. Apply through the scholarship portal by July 31.,,
